ch_id,City,OtherName,Country,Latitude,Longitude,Certainty,n_obs
0,A Coruna,"Coruna, A Coruña",Spain,43.362344,-8.41154,1,1
1,Aachen,Aix-la-Chapelle,Germany,50.77664,6.08342,1,11
2,Aalborg,,Denmark,57.048,9.9187,1,1
3,Aarhus,,Denmark,56.162939,10.203921,1,1
4,Abeokuta,,Nigeria,7.15,3.35,2,4
5,Aberdeen,,United Kingdom,57.14369,-2.09814,1,11
6,Abidjan,,Cote D'Ivoire,5.30966,-4.01266,1,1
7,Abo, Åbo (Turku),Finland,60.449325,22.259231,3,1
8,Abomey-Calavi ,,Benin,7.18286,1.99119,1,4
9,Accra,,Ghana,5.55602,-0.1969,1,1
10,Achin,Aceh,Indonesia,5.55,95.316667,3,10
11,Acre,,Israel,32.927778,35.081667,2,4
12,Adana,,Turkey,37.00167,35.32889,1,2
13,Addis Ababa,,Ethiopia,9.02497,38.74689,1,3
14,Adelaide,,Australia,-34.92866,138.59863,1,4
15,Aden,,Yemen,12.77944,45.03667,1,1
16,Agades,,Niger,16.966667,7.983333,1,5
17,Agra,,India,27.18333,78.01667,1,17
18,Agrigento,Agrigentum,Italy,37.29082765,13.58427204,1,1
19,Aguascalientes,,Mexico,21.88234,-102.28259,1,1
20,Ahmedabad,Asawal,India,23.039568,72.566004,1,25
21,Ahmednagar,,India,19.095208,74.749592,1,8
22,Aix,,France,43.526304, 5.445429,3,8
23,Ajmer,,India,26.44976,74.64116,1,4
24,Akita,,Japan,39.71667,140.11667,1,1
25,Akron,Ohio,United States of America,41.0731,-81.5178,1,4
26,Aksu,Aqsu,China,41.12306,80.26444,1,3
27,Akyab,Sittwe,Myanmar,20.144444,92.896944,1,1
28,Albany,New York,United States of America,42.652578,-73.756233,1,5
29,Aldershot,,United Kingdom,51.24827,-0.76389,1,1
30,Aleppo,,Syria,36.216667,37.166667,1,35
31,Alessandria,,Italy,44.91245,8.61894,1,9
32,Alexandria,,Egypt,31.200092,29.918739,1,30
33,Algiers,,Algiers,36.7525,3.04197,1,19
34,Al-Hasa,"Lahsa, Ahsa, El Hasa, Al Ahsa, Hadjar",Saudi Arabia,25.429444,49.621944,2,2
35,Alicante,,Spain,38.34517,-0.48149,1,1
36,Aligarh,,India,27.88334,78.07475,1,1
37,Alkalawa,Gobir,Nigeria,9.2833,8.4,3,3
38,Allada,Ardra,Benin,6.66547,2.15138,1,2
39,Allahabad,Prayag,India,25.44894,81.83328,1,10
40,Allentown,Pennsylvania,United States of America,40.17789,-74.58349,1,3
41,Almaty,Alma-Ata,Kazakhstan,43.2775,76.895833,1,2
42,Almeria,Almería ,Spain,36.83814,-2.45974,1,9
43,Alost,Aalst,Belgium,50.93781,4.040952,3,1
44,Altenburg,,Germany,50.985,12.433333,1,1
45,Altoona,Pennsylvania,United States of America,40.518681,-78.394736,3,1
46,Alwar,,India,27.56246,76.625,1,1
47,Amalfi,,Italy,40.634003,14.602683,1,3
48,Amarapura,,Myanmar,21.892983,96.05,1,8
49,Amarna,,Egypt,27.64528963,30.89624244,1,1
50,Amber,Amer,India,26.985847,75.888251,3,9
51,Amiens,,France,49.892,2.299,1,14
52,Amman,,Jordan,31.95522,35.94503,1,1
53,Amravati,Amraoti,India,20.9258,77.7647,2,1
54,Amritsar,,India,31.63661,74.87476,1,7
55,Amroha,,India,28.90314,78.46984,1,3
56,Amsterdam,,Netherlands,52.37403,4.88969,1,27
57,Anantpur,"Penugonda, Penukonda ",India,14.08339,77.59588,3,7
58,Anbar,Al Anbar Governorate,Iraq,32.559761,41.919647,3,1
59,Ancona,,Italy,43.59816,13.51008,3,1
60,Andizhan ,Andijan,Uzbekistan,40.783333,72.333333,1,1
61,Andria,,Italy,41.23063,16.29087,2,1
62,Angers,,France,47.46667,-0.55,1,19
63,Angkor,,Cambodia,13.412417,103.86705,1,12
64,Angouleme,Angoulême ,France,45.65,0.15,1,1
65,Ani,,Turkey,40.501381,43.567128,2,1
66,Ankara,Angora,Turkey,39.91987,32.85427,1,9
67,Anqing,Anking,China,30.50917,117.05056,1,3
68,Anshan,,China,41.1167,122.9833,1,1
69,Antananarivo,Tananarive,Madagascar,-18.914812,47.531623,1,1
70,Antioch,,Syria/Turkey,36.20655,36.15722,2,12
71,Antwerp,Antwerpen ,Belgium,51.219217,4.402883,1,21
72,Anuradhapura,Anuradha-Pura,Sri Lanka,8.31223,80.41306,1,2
73,Anyang,,China,36.09944,114.32889,3,1
74,Ao,Zhengzhou,China,34.766667,113.65,2,2
75,Apamea,,Turkey,35.41853326,36.40475674,3,1
76,Arad,,Romania,46.18333,21.31667,1,1
77,Arakan,Rakhine,Myanmar,19.810092,93.987842,1,10
78,Arcot,Vellore,India,12.90569,79.31897,1,2
79,Arequipa,,Peru,-16.39889,-71.535,1,9
80,Argos,Argolis,Greece,37.63333,22.73333,1,2
81,Arkhangelsk ,Archangel,Russian Federation,64.533333,40.533333,3,1
82,Arles,,France,43.6767,4.6278,1,12
83,Arnhem,,Netherlands,51.98,5.91111,1,1
84,Aror,,Pakistan,27.65,68.9833,3,1
85,Arrah,Ara,India,25.34,84.4,2,1
86,Arras,,France,50.291,2.777533,1,10
87,Astrakhan,"Atil, Itil",Russian Federation,46.366681,48.083239,1,13
88,Asuncion,Asunción ,Paraguay,-25.30066,-57.63591,1,7
89,Asyut,,Egypt,27.18096,31.18368,1,10
90,Athens,,Greece,37.97945,23.71622,1,19
91,Atlanta,,United States of America,33.749,-84.38798,1,4
92,Auburn,Alabama,United States of America,32.587778,-85.480833,3,1
93,Auckland,,New Zealand,-36.86667,174.76667,1,3
94,Augsberg,Ausburg,Germany,48.371444,10.898239,1,24
95,Augusta,Georgia,United States of America,33.473498,-82.010515,3,1
96,Aurangabad,,India,19.876165,75.343314,1,8
97,Avaris,near Pi-Rameses,Egypt,30.78629566,31.82221773,2,1
98,Avignon,,France,43.94834,4.80892,1,16
99,Axum,,Ethiopia,14.131781,38.714081,1,5
100,Ayacucho,"Guamanga, Huamanga",Peru,-13.1615,-74.22154,1,10
101,Aydin,,Turkey,37.84501,27.83963,1,1
102,Ayutthaya,Ayutia,Thailand,14.35,100.55,2,13
103,Ayvalik,Aivali,Turkey,39.33589,26.71281,1,1
104,Azemmour ,Azammour,Morocco,33.287778,-8.342222,1,4
105,Babylon,,Iraq,32.536389,44.420833,1,3
106,Badajoz,,Spain,38.87789,-6.97061,1,6
107,Badami,Vatapi,India,15.91495,75.67683,2,2
