Q12013238	ophthalmologist
Q4175034	legislator
Q2566598	religious leader
Q16389557	philosopher
Q13156709	golfer
Q19829990	religious scholar
Q16029547	athlete
Q16611554	psychologist
Q17337766	critic
Q82955	politician
Q1792450	historian
Q10871364	baseball player
Q1662561	paleontologist
Q215536	merchant
Q186360	nurse
Q5371902	keyboardist
Q2702296	video game producer
Q12773225	slave
Q13382566	sportsperson
Q211236	celebrity
Q17351648	journalist
Q1658894	illusionist
Q1172458	muhaddith
Q18534714	athlete
Q11513337	athlete
Q16278103	sportsperson
Q11338576	boxer
Q728711	playboy playmate
Q16743941	philosopher
Q10841764	racing driver
Q169470	physicist
Q7042855	film editor
Q17488357	historian
Q4845479	fashion designer
Q9017214	martial artist
Q13365201	coach
Q23938096	radio host
Q1028181	painter
Q15973695	journalist
Q207651	executioner
Q47805	military personnel
Q11122954	poet
Q6430706	critic
Q22810659	nightclub owner
Q39018	monarch
Q219477	missionary
Q639669	musician
Q49757	poet
Q16947320	political scientist
Q2526255	film director
Q901222	educator
Q1281618	sculptor
Q644687	illustrator
Q11699606	geologist
Q520549	geologist
Q191808	religious
Q15686806	politician
Q2990669	composer
Q20198734	keyboardist
Q12859263	orator
Q3349700	navy officer
Q350979	zoologist
Q3606216	writer
Q17504989	historian
Q121998	ambassador
Q1487	computer scientist
Q1423891	religious leader
Q8142883	sociologist
Q14948222	criminal
Q17456089	film director
Q2504617	philologist
Q17093672	trumpeter
Q47064	military personnel
Q15296811	visual artist
Q19842026	surgeon
Q329439	engraver
Q13218361	sportsperson
Q15212951	film maker
Q130857	musician
Q1424605	merchant
Q846750	jockey
Q1975935	millitary personnel
Q3186699	go player
Q984276	painter
Q16254673	writer
Q3715809	duke
Q854997	bhikkhu
Q18341329	monarch
Q13388442	sportsperson
Q13474373	wrestler
Q105186	pharmacist
Q5322166	designer
Q21121588	coach
Q13382519	table tennis player
Q4459623	chemist
Q15632482	philosopher
Q11499147	activist
Q336221	artist
Q186370	troubadour
Q11124885	martial artist
Q13219424	coach
Q2032656	criminal
Q13382355	archer
Q1294787	artist
Q2259451	actor
Q21680731	composer
Q18668527	presenter
Q5716684	dancer
Q2552738	manager
Q116	monarch
Q14089670	rugby player
Q164236	reporter
Q151092	model
Q6060450	daredevil
Q381353	writer
Q16063546	historian
Q15977509	designer
Q2992505	artist
Q15883433	murderer
Q674426	curator
Q12299841	cricketer
Q2627286	outlaw
Q16831394	biologist
Q16102070	navy officer
Q20751891	martial artist
Q846430	sociologist
Q16390131	mathematician
Q2643890	singer
Q627325	graphic designer
Q13381428	athlete
Q13383011	athlete
Q20972719	engineer
Q3665646	basketball player
Q2059704	television director
Q17502714	skateboarder
Q17351861	football player
Q1781198	engineer
Q1906857	engineer
Q3178518	vedette
Q18515558	sportsperson
Q2986228	sports commentator
Q19723482	musician
Q863368	programmer
Q462390	academic
Q19902880	engineer
Q17318006	free-diver
Q12470043	racing driver
Q16145150	music educator
Q215793	composer
Q738142	clerk
Q1776724	manager
Q753110	songwriter
Q185992	religious leader
Q40779	official
Q1414443	film maker
Q1326886	engineer
Q1163330	monarch
Q16745601	physicist
Q13582652	engineer
Q1114448	comics artist
Q20870256	comics artist
Q1086863	journalist
Q17165321	snooker player
Q11063	astronomer
Q270141	polymath
Q998628	illuminator
Q48352	statesman
Q15956275	computer scientist
Q322170	activist
Q212948	activist
Q1238570	political scientist
Q497240	presenter
Q22662561	presenter
Q484188	murderer
Q38142	samurai
Q3026032	screenwriter
Q4379701	pro gamer
Q193391	diplomat
Q739437	visual artist
Q13365770	artist
Q15978337	critic
Q6625963	novelist
Q18814623	autobiographer
Q2478141	aristocrat
Q12800682	saxophonist
Q4144610	skier
Q16947657	printmaker
Q2995983	instrumentalist
Q3064032	writer
Q3510637	football manager
Q13382981	luger
Q4610556	model
Q5762300	comic artist
Q17488392	historian
Q16004431	diver
Q16004432	diver
Q16335117	physicist
Q947873	presenter
Q6665249	judoka
Q8178443	librettist
Q947305	poet
Q11085831	interpreter
Q1049296	director
Q41674	webmaster
Q189829	hermit
Q1327329	instrumentalist
Q662729	public figure
Q7579803	sports commentator
Q1937431	piano maker
Q5137576	coach
Q16031530	musicologist
Q3073738	pirate
Q13382533	martial arts
Q15982795	bodybuilder
Q16868721	biologist
Q18199024	sportsperson
Q19204627	american football player
Q23868946	sportsperson
Q5137571	coach
Q14605941	athlete
Q691031	violinist
Q3246315	coach
Q13472585	philanthropist
Q2730732	sportsperson
Q1779650	engineer
Q191633	comics artist
Q23117687	poet
Q22269196	boxer
Q3055126	zoologist
Q20900796	skater
Q957729	journalist
Q16063497	biologist
Q4270517	skier
Q3155377	religious studies
Q7622988	street artist
Q20540007	sportsperson
Q2705098	entertainer
Q18545066	comedian
Q15966504	singer
Q18930236	linguist
Q285759	broker
Q166382	politician
Q17391659	architect
Q82723	geisha
Q10350365	politician
Q2815948	architect
Q18702210	sportsperson
Q21680663	composer
Q16742203	astronomer
Q719039	consort
Q15295720	poker player
Q20198542	historian
Q16743936	philosopher
Q2519376	designer
Q125482	religious leader
Q42973	architect
Q18805	scientist
Q220098	military leader
Q1930187	journalist
Q11774202	writer
Q3640160	biologist
Q2961975	businessperson
Q19766000	popularizer of science
Q715679	inventor
Q202883	veterinarian
Q937857	football player
Q29182	priest
Q2066131	sportsperson
Q16270720	biologist
Q20650437	scientist
Q16012028	jurist
Q1572123	engineer
Q15839237	physician
Q2114605	biologist
Q273108	mercenary
Q1734662	geographer
Q9379869	teacher
Q326653	accountant
Q1075651	keyboardist
Q13382749	explorer
Q10872101	anatomist
Q728973	priest
Q838476	directeur sportif
Q15709642	snowboarder
Q683476	advisor
Q173402	miss world
Q3410028	psychologist
Q264323	entertainer
Q12328016	mystic
Q19805041	illusionist
Q10729326	pirate
Q20747124	engineer
Q3427922	restaurateur
Q477406	head of state
Q22812879	artist
Q1437754	printmaker
Q17379560	comedian
Q15634281	biologist
Q15634285	biologist
Q3519259	count
Q15319501	social scientist
Q21234378	singer
Q17307272	performance artist
Q211346	psychiatrist
Q19754019	violinist
Q10816969	disc jockey
Q1344174	agent
Q210167	game designer
Q14565331	mathematician
Q911554	businessperson
Q20726593	aviator
Q4451210	military personnel
Q1053574	producer
Q16010345	performer
Q33999	actor
Q16831721	biologist
Q1259917	violinist
Q10862983	printmaker
Q16741013	criminal
Q11986654	lobbyist
Q3922505	producer
Q6415017	cleric
Q15941595	journalist
Q5436767	fashion designer
