lang	title	timestamp
en	Main_Page	2002-01-26
sv	Portal:Huvudsida	2002-11-03
ceb	Unang_Panid	2007-06-22
de	Wikipedia:Hauptseite	2002-08-28
nl	Hoofdpagina	2002-09-16
fr	Wikipédia:Accueil_principal	2002-10-11
ru	Заглавная_страница	2004-04-27
it	Pagina_principale	2006-07-20
es	Wikipedia:Portada	2002-09-29
war	Syahan_nga_Pakli	2005-09-25
pl	Wikipedia:Strona_główna	2013-05-30
vi	Trang_Chính	2003-10-26
ja	メインページ	2002-09-01
pt	Wikipédia:Página_principal	2003-10-12
zh	Wikipedia:首页	2002-12-16
uk	Головна_сторінка	2003-12-27
ca	Portada	2003-11-03
fa	صفحهٔ_اصلی	2003-12-19
no	Portal:Forside	2003-12-15
ar	الصفحة_الرئيسية	2003-08-03
sh	Glavna_stranica	2005-06-23
fi	Wikipedia:Etusivu	2003-10-29
hu	Kezdőlap	2003-07-08
id	Halaman_Utama	2003-11-29
ro	Pagina_principală	2003-07-12
cs	Hlavní_strana	2002-11-14
ko	위키백과:대문	2002-10-11
sr	Главна_страна	2005-11-10
ms	Laman_Utama	2002-10-26
tr	Ana_Sayfa	2002-12-05
eu	Azala	2003-11-07
eo	Vikipedio:Ĉefpaĝo	2002-02-20
bg	Начална_страница	2003-12-07
min	Laman_Utamo	2011-01-18
da	Forside	2002-09-10
kk	Басты_бет	2002-06-03
sk	Hlavná_stránka	2003-08-13
hy	Գլխավոր_էջ	2005-03-22
zh-min-nan	Thâu-ia̍h	2004-05-28
he	עמוד_ראשי	2003-07-08
lt	Pagrindinis_puslapis	2003-10-19
hr	Glavna_stranica	2003-02-16
ce	Коьрта_агӀо	2010-05-13
sl	Glavna_stran	2003-07-10
et	Esileht	2003-11-20
gl	Portada	2007-09-26
nn	Hovudside	2004-07-31
uz	Bosh_Sahifa	2003-12-21
la	Vicipaedia:Pagina_prima	2003-11-22
el	Πύλη:Κύρια	2002-12-01
be	Галоўная_старонка	2007-03-27
simple	Main_Page	2003-11-17
vo	Cifapad	2003-09-27
hi	मुखपृष्ठ	2010-10-06
th	หน้าหลัก	2003-03-15
az	Ana_Səhifə	2002-06-02
ur	صفحۂ_اول	2004-04-09
ka	მთავარი_გვერდი	2004-11-02
ta	முதற்_பக்கம்	2003-09-30
mk	Главна_страница	2003-09-04
oc	Acuèlh	2003-12-06
mg	Wikipedia:Fandraisana	2005-05-05
cy	Hafan	2003-07-12
lv	Sākumlapa	2003-10-06
new	मू_पौ	2006-06-04
bs	Početna_strana	2004-03-11
tt	Баш_бит	2003-12-03
tg	Саҳифаи_Аслӣ	2004-01-27
te	మొదటి_పేజీ	2003-12-10
tl	Unang_Pahina	2004-01-04
pms	Intrada	2006-03-26
sq	Faqja_kryesore	2003-10-12
br	Degemer	2004-06-23
be-tarask	Галоўная_старонка	2003-10-06
ky	Башбарак	2006-06-19
ht	Paj_Prensipal	2004-08-29
jv	Tepas	2003-01-25
zh-yue	頭版	2013-08-02
ast	Portada	2004-07-20
lb	Haaptsäit	2004-07-21
ml	പ്രധാന_താൾ	2002-12-20
bn	প্রধান_পাতা	2004-01-27
mr	मुखपृष्ठ	2003-10-20
af	Tuisblad	2003-11-30
pnb	پہلا_صفہ	2009-09-18
sco	Main_Page	2005-06-22
is	Forsíða	2003-12-26
ga	Príomhleathanach	2004-12-23
ba	Баш_бит	2002-06-02
fy	Haadside	2003-10-05
cv	Тĕп_страница	2010-11-17
sw	Mwanzo	2004-05-31
lmo	Pagina_principala	2005-10-24
my	ဗဟိုစာမျက်နှာ	2004-07-30
an	Portalada	2004-07-21
yo	Ojúewé_Àkọ́kọ́	2008-02-09
ne	मुख्य_पृष्ठ	2002-06-03
io	Frontispico	2004-05-13
gu	મુખપૃષ્ઠ	2003-12-09
nds	Wikipedia:Hööftsiet	2004-01-02
scn	Pàggina_principali	2004-11-16
bpy	পয়লা_পাতা	2006-11-01
pa	ਮੁੱਖ_ਸਫ਼ਾ	2002-06-03
ku	Destpêk	2007-02-06
als	Wikipedia:Houptsyte	2003-11-13
bar	Hoamseitn	2006-05-02
kn	ಮುಖ್ಯ_ಪುಟ	2003-06-12
ia	Wikipedia:Pagina_principal	2003-10-26
qu	Qhapaq_p'anqa	2004-04-13
su	Tepas	2003-10-25
ckb	دەستپێک	2004-10-14
mn	Нүүр_хуудас	2008-05-03
bat-smg	Pėrms_poslapis	2007-06-25
arz	الصفحه_الرئيسيه	2008-04-02
nap	Paggena_prencepale	2005-09-25
wa	Mwaisse_pådje	2015-03-30
gd	Prìomh-Dhuilleag	2003-09-20
bug	Mappadecéŋ	2005-11-07
yi	הויפט_זייט	2004-03-16
am	ዋናው_ገጽ	2002-12-19
map-bms	Kaca_Utama	2006-03-24
si	මුල්_පිටුව	2005-09-13
mzn	گت_صفحه	2006-04-10
fo	Forsíða	2004-06-20
li	Veurblaad	2004-08-29
or	ପ୍ରଧାନ_ପୃଷ୍ଠା	2006-02-10
nah	Calīxatl	2006-08-25
sah	Сүрүн_сирэй	2006-12-21
azb	آنا_صفحه	2008-10-17
vec	Pajina_prinsipałe	2005-10-24
